Fecha_Hora,La_Obra_JVRM_mm,La_Obra_EMOS_DGA_mm,BT_San_Carlos_SCM_mm,BT_El_Clarillo_mm,BT_Los_Morros_mm,Isla_Lonquen_mm,Qta_Normal_mm,Embalse_EEY_mm
2026-01-08 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5
2026-01-26 08:00:00,12.0,14.1,11.0,1.4,0.0,0.0,3.7,8.0
2026-02-01 08:00:00,1.4,2.7,4.0,0.5,0.0,0.0,3.8,5.0
2026-03-21 08:00:00,19.0,22.0,19.2,8.8,4.2,4.0,7.4,11.0
2026-04-17 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-04-20 08:00:00,0.3,0.3,0.0,3.5,3.5,9.0,0.1,0.0
2026-04-21 08:00:00,2.3,2.1,2.2,6.5,5.2,3.5,3.1,0.1
2026-05-07 08:00:00,27.0,31.0,39.0,9.2,7.2,10.0,3.7,11.0
2026-05-16 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
2026-06-10 08:00:00,2.8,2.8,3.0,1.5,0.5,0.0,0.4,0.0
2026-06-11 08:00:00,0.5,1.2,2.1,1.0,1.0,2.0,0.2,0.0
2026-06-22 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2026-07-05 08:00:00,0.0,0.0,0.0,0.0,0.0,5.0,0.2,0.0
2026-07-10 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-07-11 08:00:00,1.2,1.6,1.1,0.1,0.0,1.0,0.6,12.0
2026-07-16 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
2026-07-17 08:00:00,66.5,84.8,77.5,32.5,28.5,58.0,33.7,35.0
2026-07-18 08:00:00,105.0,131.0,104.0,81.0,66.8,84.0,69.1,39.0
2026-07-19 08:00:00,3.5,4.0,3.0,1.0,1.5,1.0,1.2,2.5
2026-07-20 08:00:00,21.4,23.0,19.0,13.5,12.5,18.0,14.1,8.0
2026-07-21 08:00:00,13.2,17.7,13.9,7.5,6.6,7.0,8.0,22.5
2026-07-22 08:00:00,18.0,21.3,20.0,10.0,8.2,8.0,5.3,11.0
2026-07-23 08:00:00,0.0,3.4,4.5,0.1,0.0,0.0,0.1,10.5
2026-07-24 08:00:00,10.0,7.5,7.4,5.4,5.5,7.0,3.7,12.0
2026-07-25 08:00:00,10.2,9.6,11.6,1.7,4.0,9.0,1.2,30.0
2026-07-26 08:00:00,7.8,9.9,6.6,5.5,3.1,1.5,2.9,38.0
2026-07-27 08:00:00,0.3,0.1,0.1,0.0,0.0,0.1,0.0,0.0
2026-07-28 08:00:00,8.5,8.0,8.4,2.5,5.5,16.0,1.0,1.0
2026-07-29 08:00:00,4.5,7.1,8.0,0.0,0.0,0.0,0.1,3.0
2026-07-31 08:00:00,0.7,0.0,0.1,0.0,0.0,2.0,0.2,0.0
2026-08-01 08:00:00,25.0,29.0,27.4,12.9,11.3,30.0,12.2,13.5
2026-08-02 08:00:00,6.0,5.7,8.1,3.1,3.1,14.0,2.3,36.0
2026-08-03 08:00:00,1.0,2.3,2.4,0.9,0.9,0.0,0.1,10.0
2026-08-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
2026-08-06 08:00:00,21.0,25.0,24.4,11.3,9.3,10.0,9.0,0.0
2026-08-08 08:00:00,0.2,0.2,0.0,0.3,0.0,0.5,0.0,0.0
2026-08-14 08:00:00,8.0,9.1,7.3,0.6,0.0,0.0,0.5,5.0
2026-08-15 08:00:00,4.6,5.5,5.5,1.5,0.8,8.0,0.0,5.0
2026-08-16 08:00:00,44.0,52.0,46.0,25.9,26.0,20.0,26.1,15.0
2026-08-17 08:00:00,7.8,6.7,6.5,3.8,2.8,0.5,3.1,8.0
2026-08-18 08:00:00,2.1,2.8,0.5,1.1,1.1,0.0,0.5,0.0
2026-08-25 08:00:00,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-26 08:00:00,1.3,2.3,2.0,0.3,0.0,0.0,0.2,16.0
2026-08-27 08:00:00,2.2,2.4,2.6,6.0,6.0,5.0,3.4,15.0
2026-08-28 08:00:00,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5
2026-08-31 08:00:00,16.0,19.0,19.0,9.5,6.4,0.0,6.5,7.0
2026-09-11 08:00:00,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.5
2026-09-20 08:00:00,7.2,6.8,9.1,0.9,0.5,0.0,0.9,25.0
2026-09-21 08:00:00,0.4,1.7,1.0,0.0,0.0,0.0,0.0,4.0
2026-09-23 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
