Fecha_Hora,Embalse_El_Yeso_cm,Volcan_Maipo_cm
2026-05-07 08:00:00,3.0,0.0
2026-06-10 08:00:00,0.0,12.1
2026-06-11 08:00:00,8.0,7.3
2026-06-12 08:00:00,1.0,4.2
2026-06-22 08:00:00,1.0,6.4
2026-07-11 08:00:00,0.2,34.5
2026-07-17 08:00:00,40.0,69.9
2026-07-18 08:00:00,81.0,132.6
2026-07-19 08:00:00,81.0,120.6
2026-07-20 08:00:00,87.0,131.0
2026-07-21 08:00:00,98.0,132.0
2026-07-22 08:00:00,103.0,115.5
2026-07-23 08:00:00,106.0,109.8
2026-07-24 08:00:00,108.0,118.4
2026-07-25 08:00:00,100.0,133.6
2026-07-26 08:00:00,93.0,150.8
2026-07-27 08:00:00,86.0,141.7
2026-07-28 08:00:00,79.0,186.6
2026-07-29 08:00:00,75.0,174.2
2026-07-30 08:00:00,64.0,157.5
2026-07-31 08:00:00,50.0,150.8
2026-08-01 08:00:00,62.0,152.9
2026-08-02 08:00:00,73.0,192.9
2026-08-03 08:00:00,61.0,240.1
2026-08-04 08:00:00,56.0,247.8
2026-08-05 08:00:00,51.0,253.9
2026-08-06 08:00:00,55.0,265.9
2026-08-07 08:00:00,50.0,253.4
2026-08-08 08:00:00,44.0,251.1
2026-08-09 08:00:00,38.0,261.2
2026-08-10 08:00:00,34.0,259.5
2026-08-11 08:00:00,31.0,254.2
2026-08-12 08:00:00,28.0,268.4
2026-08-13 08:00:00,26.0,261.4
2026-08-14 08:00:00,25.0,293.9
2026-08-15 08:00:00,26.0,312.8
2026-08-16 08:00:00,42.0,309.9
2026-08-17 08:00:00,52.0,307.0
2026-08-18 08:00:00,47.0,298.2
2026-08-19 08:00:00,39.0,294.1
2026-08-23 08:00:00,24.0,279.7
2026-08-24 08:00:00,22.0,276.3
2026-08-25 08:00:00,20.0,287.8
2026-08-26 08:00:00,17.0,327.2
2026-08-27 08:00:00,26.0,347.3
2026-08-28 08:00:00,22.0,338.3
2026-08-29 08:00:00,18.0,337.7
2026-08-30 08:00:00,15.0,333.4
2026-08-31 08:00:00,21.0,334.4
2026-09-04 08:00:00,7.0,330.3
2026-09-05 08:00:00,7.0,326.4
2026-09-06 08:00:00,3.0,322.8
2026-09-11 08:00:00,1.0,322.1
2026-09-12 08:00:00,0.0,324.3
2026-09-16 08:00:00,0.0,319.4
2026-09-20 08:00:00,10.0,346.8
2026-09-21 08:00:00,10.0,355.3
2026-09-23 08:00:00,0.0,347.6
